Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2014;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Governador;PSB;Apto;Eleito;PB;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior incompleto;MATO GROSSO DO SUL;Brasileira nata;Pecuarista;PSDB;Apto;Eleito;MS;CENTRO-OESTE
2014;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Senador;PSB;Apto;Eleito;DF;CENTRO-OESTE
2014;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Economista;PMDB;Apto;Eleito;ES;SUDESTE
2014;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Governador;PMDB;Apto;Eleito;RJ;SUDESTE
2014;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Advogado;PSD;Apto;Eleito;RN;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Feminino;Superior completo;RORAIMA;Brasileira nata;Empresário;PP;Apto;Eleito;RR;NORTE
2014;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Governador;PSDB;Apto;Eleito;SP;SUDESTE
2014;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Professor de Ensino Médio;PMDB;Apto;Eleito;RS;SUL
2014;Governador;Branca;Deferido;Separado(a) judicialmente;55 a 59 anos;Masculino;Ensino Médio completo;SANTA CATARINA;Brasileira nata;Governador;PSD;Apto;Eleito;SC;SUL
2014;Governador;Branca;Deferido;Separado(a) judicialmente;60 a 64 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Economista;PT;Apto;Eleito;MG;SUDESTE
2014;Governador;Branca;Deferido;Solteiro(a);70 a 74 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Governador;PMDB;Apto;Eleito;SE;NORDESTE
2014;Governador;Branca;Deferido com recurso;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;TOCANTINS;Brasileira nata;Governador;PHS;Apto;Eleito;TO;NORTE
2014;Governador;Branca;Deferido com recurso;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;TOCANTINS;Brasileira nata;Empresário;PMDB;Apto;Eleito;TO;NORTE
2014;Governador;Parda;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;MATO GROSSO;Brasileira nata;Senador;PDT;Apto;Eleito;MT;CENTRO-OESTE
2014;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Deputado;PT;Apto;Eleito;BA;NORDESTE
